TAHUN,PENERIMA MANFAAT (HB),FS1,PR1,HA2,Karakter Puskesmas,ALOKASI BELANJA (RP),REALISASI BELANJA (RP)
2022.0,HB.1 0 - <1 tahun (bayi),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.2 Pertemuan koordinasi,Perdesaan,351021680,241377679
2022.0,HB.1 0 - <1 tahun (bayi),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.2 Pertemuan koordinasi,Perkotaan,506263939,421284357
2022.0,HB.1 0 - <1 tahun (bayi),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.3 Peningkatan Kapasitas Personil,Perdesaan,731136830,588115554
2022.0,HB.1 0 - <1 tahun (bayi),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,"HA.1.6 Monitoring, Evaluasi dan Pelaporan",Perdesaan,1301111148,902360275
2022.0,HB.1 0 - <1 tahun (bayi),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,"HA.1.6 Monitoring, Evaluasi dan Pelaporan",Terpencil,304652861,218349856
2022.0,HB.1 0 - <1 tahun (bayi),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.8 Pengadaan alat dan bahan Medis dan Non Medis,Perdesaan,708143226,454448038
2022.0,HB.1 0 - <1 tahun (bayi),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.8 Pengadaan alat dan bahan Medis dan Non Medis,Perkotaan,411519335,306645532
2022.0,HB.1 0 - <1 tahun (bayi),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.9 Penelitian dan Pengembangan Kesehatan,Perkotaan,497734317,339944138
2022.0,HB.1 0 - <1 tahun (bayi),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.1 Kegiatan Upaya Kesehatan Masyarakat,Perdesaan,25766539487,19484042091
2022.0,HB.1 0 - <1 tahun (bayi),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.1 Kegiatan Upaya Kesehatan Masyarakat,Perkotaan,15604180874,11585887307
2022.0,HB.1 0 - <1 tahun (bayi),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.1 Kegiatan Upaya Kesehatan Masyarakat,Sangat Terpencil,986808627,621933868
2022.0,HB.1 0 - <1 tahun (bayi),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.1 Kegiatan Upaya Kesehatan Masyarakat,Terpencil,3862259799,2868777213
2022.0,HB.1 0 - <1 tahun (bayi),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.2 Kegiatan Upaya Kesehatan Perorangan,Perdesaan,996451967,913413179
2022.0,HB.1 0 - <1 tahun (bayi),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.2.2 Kegiatan Upaya Kesehatan Perorangan,Perkotaan,81876685,58730587
2022.0,HB.2 1 - 5 tahun (balita),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.2 Pertemuan koordinasi,Perdesaan,22100083100,16463479194
2022.0,HB.2 1 - 5 tahun (balita),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.2 Pertemuan koordinasi,Perkotaan,3645764263,2762775513
2022.0,HB.2 1 - 5 tahun (balita),FS.1 Dana Publik,PR.1 Program Kesehatan Masyarakat,HA.1.2 Pertemuan koordinasi,Sangat Terpencil,1013037748,764856155
